,Apple iPhone 8,Apple iPhone X,Apple iPhone XS,Apple iPhone 11,Apple iPhone 12,Apple iPhone 13
112,564.99,,513.98,815.7880000000001,844.99,691.6566666666668
113,565.1566666666666,714.925,,797.49,,689.3100000000001
114,557.665,714.925,517.894,818.9914285714285,,688.65
115,539.8083333333334,688.0,517.0,827.2057142857141,,691.9750000000001
116,545.0,814.0233333333333,508.495,836.6483333333332,,688.215
117,534.99,,505.896,819.8655555555555,749.99,
118,534.5566666666667,688.3133333333334,498.6275,,,691.7560000000001
119,534.8366666666666,701.6466666666666,496.6425,836.2568749999998,,694.485
120,527.35,778.99,495.47666666666663,815.9859999999999,,695.9900000000001
121,522.495,769.2225000000001,489.8728571428571,828.9875,769.99,700.9825000000001
122,539.0,785.9166666666666,483.58428571428567,746.99,759.99,706.2625
123,524.3812499999999,799.77,478.99,744.1659999999999,749.99,699.0
124,519.9433333333334,799.77,478.99666666666667,746.8492307692309,,728.9766666666668
125,521.21,,,747.8088235294117,744.99,727.8050000000001
126,530.4916666666667,699.0,478.98,,,768.99
127,519.95,779.385,478.7033333333333,744.9625,,750.98
128,519.9100000000001,,471.392,740.037,,726.3
129,519.86,,464.99,738.1300000000001,,717.6500000000001
130,556.995,,464.65000000000003,741.6116666666667,,682.49
131,543.6,,459.925,736.9341666666668,,689.95
132,519.8966666666666,789.0,,729.1566666666668,724.66,679.1566666666666
133,519.9466666666667,,462.475,,724.0,662.6433333333333
134,519.0,,462.53999999999996,729.495,719.99,662.7425000000001
135,518.94,,460.17500000000007,730.8081818181818,,681.495
136,518.8100000000001,799.0,456.975,731.684,718.0,683.182
137,517.7478571428571,736.3266666666667,454.495,729.9749999999999,,669.926
138,514.1921052631579,689.0,458.1,739.1483333333332,,686.9775
139,499.99,683.598,,738.32,,686.5
140,499.9666666666667,675.0,455.1875,734.9237499999999,709.495,665.0450000000001
141,498.3592307692307,673.3066666666667,451.75333333333333,731.120769230769,699.0,668.0725
142,493.43000000000006,664.0766666666668,449.98333333333335,731.305,682.33,673.195
143,492.9437500000001,661.97,447.61999999999995,735.9849999999999,679.9983333333333,673.5100000000001
144,492.09319999999985,660.7900000000001,455.96000000000004,737.4899999999999,672.0,677.46
145,491.2334615384615,658.05,446.392,732.1257142857143,,666.105
146,490.30884615384616,650.6975,449.4271428571428,718.311111111111,666.8333333333334,666.7650000000001
147,489.55099999999993,,451.1360000000001,719.1416666666665,661.0,652.482
148,488.5542857142856,,463.17600000000004,715.6416666666665,657.5,672.385
149,487.526,,459.995,713.1666666666666,655.1666666666666,638.62
150,484.8,678.5925000000001,456.5657142857143,716.95,651.0,608.97
151,484.92499999999995,,460.41916666666657,714.168,,626.3125
152,514.0,679.99,457.95,713.7522222222221,656.6666666666666,624.6500000000001
153,496.2,659.99,458.99799999999993,712.72,659.99,643.9275
154,551.2577777777777,,462.12,710.7539999999999,654.9966666666667,630.2933333333334
155,519.74,,462.3233333333333,707.47,651.6266666666667,639.8359999999999
156,504.18625,,464.83299999999997,704.7940000000001,646.995,643.2483333333333
157,502.79833333333323,,,729.97,642.5,629.6985714285714
158,516.6,634.3066666666667,476.995,708.7362499999999,640.0,617.7874999999999
159,518.552,622.235,472.3933333333334,711.18,635.0,636.5566666666667
160,517.0,634.8116666666667,477.65333333333336,695.6114285714285,632.495,630.8359999999999
161,496.99,622.485,479.98,678.16,628.995,605.3928571428571
162,493.99,629.9869999999999,479.3833333333334,647.6566666666666,626.6433333333333,629.6166666666667
163,496.99,629.99,,649.99,623.3775,643.32
164,512.5685714285713,618.79,,659.99,622.8225,634.8083333333334
165,504.2249999999999,619.79,491.7699999999999,650.2066666666666,,639.95
166,515.0,609.99,493.4463636363636,644.7425000000001,619.99,
167,504.76800000000003,622.4799999999999,475.98333333333335,649.4925000000001,619.495,
168,511.22375,632.48,489.77812500000005,656.4875,,
