,Day,iPhone 8,iPhone X,iPhone XS,iPhone 11,,
221,24/8/2018,427.245,782.6633333,494.12875,622.49,,
222,25/8/2018,425.91,701.784,494.608,623.994,,
223,26/8/2018,431.7675,782.6633333,503.8571429,624.49,,
224,27/8/2018,431.6566667,659.99,504.95,619.74,,
227,30/8/2018,441.79,624.99,515.106,639.98,,
231,3/9/2018,441.2757143,624.99,514,650,,
235,7/9/2018,439.11,625.73,523.17,569.43,,
236,8/9/2018,439.99,633.778,497.386,591.2833333,,
244,16/9/2018,449,651,501.995,612.3233333,,
245,17/9/2018,439.99,650,481.5,604.3266667,,
247,19/9/2018,420.85,645.485,470,582.495,,
251,23/9/2018,404.886,625.7014286,475.28,593.3733333,,
252,24/9/2018,402.11,645.055,476,592.26125,,
253,25/9/2018,400.1453333,645.12,472.1266667,605.092,,
254,26/9/2018,401.505,643.8725,471,596.495,,
255,27/9/2018,400.7007692,635,469.99,598.985,,
259,1/10/2018,394.33,584.99,460.4283333,607.66,,
260,2/10/2018,392.99,625.02,476.4066667,615.99,,
262,4/10/2018,389.975,616.6533333,477.6916667,596.57,,
263,5/10/2018,388.985,624.485,477.5881818,605.285,,
271,13/10/2018,379.475,584.99,465.5066667,616.49,,
273,15/10/2018,378.95,599.96,462.475,619.99,,
275,17/10/2018,378.9,599.9533333,461.65,624.99,,
284,26/10/2018,378.46,599.9125,438.99,612.66,,
285,27/10/2018,377.93,594.10125,436.5,601.95,,
286,28/10/2018,378.5,589.9372727,440,601.95,,
289,31/10/2018,386.6566667,592.445,435,611.9933333,,
290,1/11/2018,384.21,588.665,452.62875,612.99,,
291,2/11/2018,381.5257143,588.3166667,460.786,629.995,,
294,5/11/2018,375.27,599.95,445.5166667,621.5,,
295,6/11/2018,364.99,599.945,446.8966667,637.495,,
297,8/11/2018,364.49,590.34875,444.495,636.66,,
298,9/11/2018,364.99,579.6533333,445.8075,622.66,,
300,11/11/2018,369.99,569.99,456.735,609.99,,
303,14/11/2018,369.99,539.98,459.995,619.99,,
305,16/11/2018,372.44,516.46,444.0142857,623,,
306,17/11/2018,374.98,514,458.72,611.495,,
307,18/11/2018,384.99,504.8546154,448.32,619.495,,
308,19/11/2018,373.3233333,487.99,460.8733333,603.2475,,
309,20/11/2018,374.99,486.4375,456.17,602,,
310,21/11/2018,374.902,482.98125,467.1085714,605.23,,
311,22/11/2018,374.99,482.1948276,468.594,610.5,,
312,23/11/2018,374.7233333,462.8933333,435.946,605.5,,
313,24/11/2018,373.5011111,462.5028571,430.075,607,,
316,27/11/2018,367.49,463.99,431.22,604.99,,
318,29/11/2018,374.9,460.702,418.9875,602.99,,
321,2/12/2018,374.548,452.321,409.8183333,602.99,,
322,3/12/2018,373.2846667,454.9054545,402.5,600.99,,
324,5/12/2018,368.7766667,459.915,399.95,598,,
325,6/12/2018,368.465,457.69,395.79,596,,
326,7/12/2018,369.99,451.8625,390.9928571,588.8866667,,
327,8/12/2018,364.99,456.9083333,388.4,579.252,,
328,9/12/2018,364.455,460.855,390,582.9825,,
329,10/12/2018,364.21,461.4433333,389,588,,
331,12/12/2018,361.395,444.15,386,585.3066667,,
332,13/12/2018,363.84,449.522,389.975,592.75,,
333,14/12/2018,361.54,448.95,396,589.95,,
334,15/12/2018,359.2075,447.95,399.9975,587.995,,
335,16/12/2018,360.2533333,448.95,407.33,588.66,,
336,17/12/2018,353.8,447.99,397.6,589.33,,
339,20/12/2018,363,450.9671429,403.698,584.44,,
340,21/12/2018,357.6,451.3066667,397.49,580.315,,
341,22/12/2018,356.4644444,452.2966667,394.745,576.88,,
342,23/12/2018,361.6666667,451.1814286,394.245,573.495,,
343,24/12/2018,364.9966667,447.194,384.9766667,580.495,,
346,27/12/2018,364.5566667,448.374,379.4425,634.445,,
347,28/12/2018,364.325,446.97,373,633.33,,
348,29/12/2018,376.6616667,445.9366667,374.48,640,,
349,30/12/2018,399,445.294,377.4875,619.98,,
351,1/1/2019,395.77,443.29,371.2816667,584.49,,
352,2/1/2019,383.065,444.522,369.95,594.72,,
353,3/1/2019,363.79,444.47,369.764,598.495,,
355,5/1/2019,366.315,445.465,359.4228571,604.99,,
356,6/1/2019,349.99,447.4883333,358.162,602.98,,
359,9/1/2019,402.495,448.995,352,598.2333333,,
360,10/1/2019,384.5,446.995,355.9533333,616.0633333,,
361,11/1/2019,397.8228571,448.81,352.9833333,606.495,,
362,12/1/2019,411.8333333,447.1633333,353.465,599.95,,
363,13/1/2019,383.325,444.456,352.49,595.65,,
364,14/1/2019,386.24,440,356.2733333,593.9966667,,
366,16/1/2019,377.99,434.495,345.2466667,595.995,,
369,19/1/2019,375.48,427.9225,337.1466667,584.2,,
370,20/1/2019,388.3233333,424.99,337,589,,
371,21/1/2019,389.97,413.99,337.322,564,,
372,22/1/2019,389.97,414.99,335.7357143,561.975,,
378,28/1/2019,372.9833333,405.48,327,560.6666667,,
379,29/1/2019,374.97,403.2766667,325.7425,561.9,,
381,31/1/2019,369.99,394.9625,323.5,552,,
385,4/2/2019,367.93,408.2991667,327.46,549,,
386,5/2/2019,368.395,405.2507692,327.4866667,548,,
387,6/2/2019,359.28,405.4525,330.105,551.05,,
388,7/2/2019,358.925,408.8888889,330.2375,582.26,,
389,8/2/2019,368.0583333,406.7446154,330.745,565.755,,
390,9/2/2019,362.53,407.306,335.9766667,558.99,,
394,13/2/2019,351.9642857,399,340.3714286,585.9383333,,
395,14/2/2019,349.9928571,398.745,342.5375,556.99,,
396,15/2/2019,351.994,396.3333333,337.2366667,562.6583333,,
397,16/2/2019,347.49,395.5,349.97,565.6633333,,
398,17/2/2019,350.9933333,394.6666667,338.27,561.5,,
400,19/2/2019,354.53,391.735,343.748,582.5166667,,
401,20/2/2019,352.395,393.99,347.965,585.45,,
402,21/2/2019,352.495,394,340.6625,568.18,,
403,22/2/2019,341.9925,393.9625,345.1975,593.785,,
404,23/2/2019,347.715,392,345.975,554,,
405,24/2/2019,347.4875,404.72,366.6533333,579,,
406,25/2/2019,355,400.7286667,362.6433333,578,,
407,26/2/2019,349.99,405.2128571,346.4775,583.63,,
408,27/2/2019,352.3366667,407.2075,344.475,558.99,,
409,28/2/2019,335.704,419.5542857,345.9466667,558.95,,
410,1/3/2019,314.27,421.1657143,345.47,571.99,,
411,2/3/2019,341.99,411.2681818,346.7275,569.495,,
413,4/3/2019,353.7533333,417.194,348.4433333,579.825,,
