Day,iPhone,Apple iPhone 8
353,443.3624182,363.79
355,443.259879,366.315
356,438.8473515,349.99
359,449.7414087,402.495
360,450.0825521,384.5
361,450.7973126,397.8228571
362,452.4213232,411.8333333
363,443.2568655,383.325
364,443.4087968,386.24
366,437.6773984,377.99
369,430.4606516,375.48
370,434.1017509,388.3233333
371,425.6746033,389.97
372,425.0311313,389.97
378,415.8501571,372.9833333
379,415.7846218,374.97
381,409.4391941,369.99
385,412.5311046,367.93
386,411.641194,368.395
387,410.8019216,359.28
388,419.2918911,358.925
389,417.1174326,368.0583333
390,415.5104916,362.53
394,418.4895242,351.9642857
395,411.3464206,349.9928571
396,411.3118407,351.994
397,413.893189,347.49
398,410.6136091,350.9933333
400,417.3091869,354.53
401,419.1163219,352.395
402,413.0665938,352.495
403,417.8480823,341.9925
404,409.1985291,347.715
405,423.6708519,347.4875
406,423.3085541,355
407,420.5164212,349.99
408,415.0446652,352.3366667
409,414.322683,335.704
410,412.4197038,314.27
411,416.6100427,341.99
413,424.0366683,353.7533333
414,429.3237304,355.2642857
415,432.6898189,358.7666667
417,433.1671624,365.3233333
418,431.5086772,342.99
419,427.3881688,323.995
421,422.8301259,324.49
423,419.8600931,322.7325
424,422.5553749,323.24
425,422.3714928,318.19
426,423.4199799,310
427,420.9024425,308.796
428,422.9122833,309.785
429,424.1878498,309.4925
430,423.6782452,309
431,419.755643,302.192
432,415.5038065,296.6566667
434,419.6822247,309.495
435,421.2295757,315.28
438,438.5458167,358.3166667
439,431.4389681,346.19
442,422.6441896,308.4575
445,418.5721756,311.745
446,410.4168586,287.9466667
447,423.616251,336.3266667
449,419.5976879,316.91125
450,423.3338727,322.7422222
451,415.7962425,312.08875
452,431.0523795,328.3225
453,434.5850149,291.43
454,417.9492846,321.716
455,418.7286047,307.6036364
457,416.6269912,305.695
458,419.3108519,305.389
461,420.7586762,305.4383333
462,423.6629804,305.16
464,427.8416968,309.158
478,401.8557525,288.2692857
479,395.4581606,288.3133333
480,395.0575832,285
482,401.5101271,287.394
488,398.0916438,282.25
491,394.6218823,280.992
493,407.4348447,279.786
495,404.6137903,284.25
496,404.4563088,274.6166667
497,405.2681752,279.63
498,414.9687696,268.05
499,404.1655286,258.9957143
500,397.4690891,257.81
501,395.053156,259.1457143
502,395.5421102,259.0816667
503,394.9950887,257.9866667
505,398.6643843,256.3233333
506,399.3093841,249.66
509,397.0026851,246.7
510,394.5946715,239.9275
512,394.6270647,238.295
516,394.7471066,237.7711111
517,394.8308977,237.696
518,394.6481612,236.3638095
519,389.7603301,235.376
520,392.0974178,232.6816667
521,390.2468137,232.34
522,385.361603,232.22
524,390.2299518,232.275
527,393.1499765,232.34
528,392.5573935,232.34
529,390.99055,235.07875
534,387.7062902,234.86
535,384.4775966,233
536,379.142038,232.5
547,388.7795884,267.95
548,385.5353125,257.9833333
550,387.1530172,270
551,382.9880337,269.5775
553,389.4940197,284.23
554,386.6459756,269.95
555,387.417979,273.74
556,385.6644867,272.698
558,382.3764258,274.3483333
559,386.0718294,282.81
