,Day,iPhone
308,19/11/2018,480.6887785
309,20/11/2018,479.2337782
310,21/11/2018,481.8732386
311,22/11/2018,483.3660297
312,23/11/2018,469.039085
313,24/11/2018,467.5330537
316,27/11/2018,466.1853026
318,29/11/2018,463.6707842
321,2/12/2018,459.1774792
322,3/12/2018,457.1866807
324,5/12/2018,455.9387509
325,6/12/2018,453.7668768
326,7/12/2018,449.7326474
327,8/12/2018,446.7239243
328,9/12/2018,448.9013993
329,10/12/2018,449.9724502
331,12/12/2018,443.4953946
332,13/12/2018,448.2903709
333,14/12/2018,448.3854847
334,15/12/2018,448.065286
335,16/12/2018,450.5788779
336,17/12/2018,446.4420029
339,20/12/2018,449.8312721
340,21/12/2018,445.9881188
341,22/12/2018,444.4191743
342,23/12/2018,444.4904875
343,24/12/2018,443.728827
346,27/12/2018,455.8077528
347,28/12/2018,453.5094448
348,29/12/2018,458.3683803
349,30/12/2018,459.6585196
351,1/1/2019,448.0532872
352,2/1/2019,447.3478909
353,3/1/2019,443.3624182
355,5/1/2019,443.259879
356,6/1/2019,438.8473515
359,9/1/2019,449.7414087
360,10/1/2019,450.0825521
361,11/1/2019,450.7973126
362,12/1/2019,452.4213232
363,13/1/2019,443.2568655
364,14/1/2019,443.4087968
366,16/1/2019,437.6773984
369,19/1/2019,430.4606516
370,20/1/2019,434.1017509
371,21/1/2019,425.6746033
372,22/1/2019,425.0311313
378,28/1/2019,415.8501571
379,29/1/2019,415.7846218
381,31/1/2019,409.4391941
385,4/2/2019,412.5311046
386,5/2/2019,411.641194
387,6/2/2019,410.8019216
388,7/2/2019,419.2918911
389,8/2/2019,417.1174326
390,9/2/2019,415.5104916
394,13/2/2019,418.4895242
395,14/2/2019,411.3464206
396,15/2/2019,411.3118407
397,16/2/2019,413.893189
398,17/2/2019,410.6136091
400,19/2/2019,417.3091869
401,20/2/2019,419.1163219
402,21/2/2019,413.0665938
403,22/2/2019,417.8480823
404,23/2/2019,409.1985291
405,24/2/2019,423.6708519
406,25/2/2019,423.3085541
407,26/2/2019,420.5164212
408,27/2/2019,415.0446652
409,28/2/2019,414.322683
410,1/3/2019,412.4197038
411,2/3/2019,416.6100427
413,4/3/2019,424.0366683
414,5/3/2019,429.3237304
415,6/3/2019,432.6898189
417,8/3/2019,433.1671624
418,9/3/2019,431.5086772
419,10/3/2019,427.3881688
421,12/3/2019,422.8301259
423,14/3/2019,419.8600931
424,15/3/2019,422.5553749
425,16/3/2019,422.3714928
426,17/3/2019,423.4199799
427,18/3/2019,420.9024425
428,19/3/2019,422.9122833
429,20/3/2019,424.1878498
430,21/3/2019,423.6782452
431,22/3/2019,419.755643
432,23/3/2019,415.5038065
434,25/3/2019,419.6822247
435,26/3/2019,421.2295757
438,29/3/2019,438.5458167
439,30/3/2019,431.4389681
442,2/4/2019,422.6441896
445,5/4/2019,418.5721756
446,6/4/2019,410.4168586
447,7/4/2019,423.616251
449,9/4/2019,419.5976879
450,10/4/2019,423.3338727
451,11/4/2019,415.7962425
452,12/4/2019,431.0523795
453,13/4/2019,434.5850149
454,14/4/2019,417.9492846
455,15/4/2019,418.7286047
457,17/4/2019,416.6269912
458,18/4/2019,419.3108519
461,21/4/2019,420.7586762
462,22/4/2019,423.6629804
464,24/4/2019,427.8416968
478,8/5/2019,401.8557525
479,9/5/2019,395.4581606
480,10/5/2019,395.0575832
482,12/5/2019,401.5101271
488,18/5/2019,398.0916438
491,21/5/2019,394.6218823
493,23/5/2019,407.4348447
495,25/5/2019,404.6137903
496,26/5/2019,404.4563088
497,27/5/2019,405.2681752
498,28/5/2019,414.9687696
499,29/5/2019,404.1655286
500,30/5/2019,397.4690891
501,31/5/2019,395.053156
502,1/6/2019,395.5421102
503,2/6/2019,394.9950887
505,4/6/2019,398.6643843
506,5/6/2019,399.3093841
509,8/6/2019,397.0026851
510,9/6/2019,394.5946715
512,11/6/2019,394.6270647
516,15/6/2019,394.7471066
517,16/6/2019,394.8308977
518,17/6/2019,394.6481612
519,18/6/2019,389.7603301
520,19/6/2019,392.0974178
521,20/6/2019,390.2468137
522,21/6/2019,385.361603
524,23/6/2019,390.2299518
527,26/6/2019,393.1499765
528,27/6/2019,392.5573935
529,28/6/2019,390.99055
534,3/7/2019,387.7062902
535,4/7/2019,384.4775966
536,5/7/2019,379.142038
547,16/7/2019,388.7795884
548,17/7/2019,385.5353125
550,19/7/2019,387.1530172
551,20/7/2019,382.9880337
553,22/7/2019,389.4940197
554,23/7/2019,386.6459756
555,24/7/2019,387.417979
556,25/7/2019,385.6644867
558,27/7/2019,382.3764258
559,28/7/2019,386.0718294
560,29/7/2019,387.0382377
561,30/7/2019,390.8832768
562,31/7/2019,378.2472789
