Date,iPhone,Apple iPhone 8
13/8/2018,558.651998,449.7014286
15/8/2018,563.7876911,439.7916667
16/8/2018,563.2303799,437.9552632
17/8/2018,567.8419462,428.9
18/8/2018,567.5735285,428.5225
19/8/2018,565.1676832,428.8
21/8/2018,558.7012122,424.9533333
23/8/2018,589.3150126,426.7466667
25/8/2018,551.5187586,427.6233333
27/8/2018,600.6206676,424.96
28/8/2018,562.3133467,424.96
29/8/2018,583.6304308,424.95
2/9/2018,546.8776754,431.7233333
3/9/2018,581.5270414,427.245
4/9/2018,561.3150725,425.91
5/9/2018,585.592554,431.7675
6/9/2018,553.7794019,431.6566667
9/9/2018,555.0409338,441.79
13/9/2018,557.1006303,441.2757143
17/9/2018,539.2072872,439.11
18/9/2018,540.3821016,439.99
26/9/2018,553.3193607,449
27/9/2018,543.7019697,439.99
29/9/2018,529.4938273,420.85
3/10/2018,524.4896604,404.886
4/10/2018,528.5702375,402.11
5/10/2018,530.2802953,400.1453333
6/10/2018,527.9109612,401.505
7/10/2018,525.834344,400.7007692
11/10/2018,511.3794471,394.33
12/10/2018,527.1697545,392.99
14/10/2018,519.8457593,389.975
15/10/2018,523.6873622,388.985
23/10/2018,511.081635,379.475
25/10/2018,514.8217086,378.95
27/10/2018,515.8315323,378.9
5/11/2018,507.0060577,378.46
6/11/2018,502.1504445,377.93
7/11/2018,502.1212612,378.5
10/11/2018,506.0278093,386.6566667
11/11/2018,509.116015,384.21
12/11/2018,514.5782875,381.5257143
15/11/2018,510.0206637,375.27
16/11/2018,511.7118786,364.99
18/11/2018,508.36313,364.49
19/11/2018,502.6788542,364.99
21/11/2018,501.121044,369.99
24/11/2018,496.8411463,369.99
26/11/2018,488.2779445,372.44
27/11/2018,489.1464356,374.98
28/11/2018,488.7314457,384.99
29/11/2018,480.6887785,373.3233333
30/11/2018,479.2337782,374.99
1/12/2018,481.8732386,374.902
2/12/2018,483.3660297,374.99
3/12/2018,469.039085,374.7233333
4/12/2018,467.5330537,373.5011111
7/12/2018,466.1853026,367.49
9/12/2018,463.6707842,374.9
12/12/2018,459.1774792,374.548
13/12/2018,457.1866807,373.2846667
15/12/2018,455.9387509,368.7766667
16/12/2018,453.7668768,368.465
17/12/2018,449.7326474,369.99
18/12/2018,446.7239243,364.99
19/12/2018,448.9013993,364.455
20/12/2018,449.9724502,364.21
22/12/2018,443.4953946,361.395
23/12/2018,448.2903709,363.84
24/12/2018,448.3854847,361.54
25/12/2018,448.065286,359.2075
26/12/2018,450.5788779,360.2533333
27/12/2018,446.4420029,353.8
30/12/2018,449.8312721,363
31/12/2018,445.9881188,357.6
1/1/2019,444.4191743,356.4644444
2/1/2019,444.4904875,361.6666667
3/1/2019,443.728827,364.9966667
6/1/2019,455.8077528,364.5566667
7/1/2019,453.5094448,364.325
